,SMILES,Absorption solvent,Emission solvent,Absorption (nm),Emission (nm),DOI
6455,CC1(C)CCN2CCC(C)(C)C3=C2C1=CC1=C3[O-][Ir+3]23([C-]4=C(C=CC=C4)C4=[N]2C=CC=C4)([C-]2=C(C=CC=C2)C2=[N]3C=CC=C2)[N](=C1)C1=CC=C(I)C=C1,CC#N,,370.0,,https://doi.org/10.1021/acs.inorgchem.6b02728
6456,CC1(C)CCN2CCC(C)(C)C3=C2C1=CC1=C3[O-][Ir+3]23([C-]4=C(C=CC=C4)C4=[N]2C=CC=C4)([C-]2=C(C=CC=C2)C2=[N]3C=CC=C2)[N](=C1)C1=CC=C(C=C1)C#C,CC#N,,373.0,,https://doi.org/10.1021/acs.inorgchem.6b02728
6457,C1=CC=CC2=[N]1[Ir+]13([N]4=CC=CC5=C4C4=[N]1C=C(C#CC1=CC6=[N]7C(C[N]89CC([O-][Nd+3]7878([O-]C(=O)C9)[O-]C(=O)C[N]7(C6)CC([O-]8)=O)=O)=C1)C=C4C=C5)([N]1=C(C=CC=C1)C1=CC=CC=C31)C1=CC=CC=C21,CC#N,,373.0,,https://doi.org/10.1016/j.poly.2017.02.016
6458,C1=CC2=[N]([Ir+3]34([N]5=CC=CC6=C5C5=[N]3C=C(C#CC3=CC7=[N]8C(=C3)C[N]39CC([O-][Gd+3]8338([O-]C(=O)C9)[O-]C(C[N]3(CC([O-]8)=O)C7)=O)=O)C=C5C=C6)([C-]3=CC=CC=C23)[C-]2=CC=CC=C2C2=[N]4C=CC=C2)C=C1,CC#N,,373.0,,https://doi.org/10.1016/j.poly.2017.02.016
6459,[N]12=CC=CC3=C1C1=[N]([Ir+3]2245[N]6=C(C=CC=C6)C6=CC=CC=[C-]26)C=C(C=C1C=C3)C#CC1=CC2=[N]3[Yb+3]6789%10[N](CC(=O)[O-]6)(CC(=O)[O-]7)CC3=C1.[N]41=C(C=CC=C1)[C-]1=CC=CC=C51.[N]8(CC(=O)[O-]9)(CC(=O)[O-]%10)C2,CC#N,,345.0,,https://doi.org/10.1016/j.poly.2017.02.016
6460,[N]12=CC=CC3=C1C1=[N]([Ir+3]2245[N]6=C(C=CC=C6)C6=CC=CC=[C-]26)C=C(C=C1C=C3)C#CC1=CC2=[N]3[Eu+3]6789%10[N](CC(=O)[O-]6)(CC(=O)[O-]7)CC3=C1.[N]41=C(C=CC=C1)[C-]1=CC=CC=C51.[N]8(CC(=O)[O-]9)(CC(=O)[O-]%10)C2,CC#N,,345.0,,https://doi.org/10.1016/j.poly.2017.02.016
6461,C1=C2C3=CC=CC=[N]3[Ir+3]34([C]5N(C)C=CN5C5=[C-]3C=C(C=C5)C3=CC(=NC(=C3)C3=CC=CC=N3)C3=NC=CC=C3)([C-]2=CC=C1)[C-]1=C(C2=[N]4C=CC=C2)C=CC=C1,CCO,,345.0,,https://doi.org/10.1002/chem.201700668
6462,C1=CC=NC(=C1)C1=CC(C2=C[C-]3=C(N4[C](N(C)C=C4)[Ir+3]3345[C-]6=C(C7=[N]3C=CC=C7)C(F)=CC(F)=C6)C=C2)=CC(=N1)C1=NC=CC=C1.[N]41=CC=CC=C1C1=C(F)C=C(F)C=[C-]51,CCO,,360.0,,https://doi.org/10.1002/chem.201700668
6463,CN1C=C[N](=C1)[Ir+3]123([O-]C4=CC=CC=C4C4=CC=CC(C5=[C-]1C(=CC=C5)C1=C([O-]2)C=CC=C1)=[N]34)[N]1=CN(C)C=C1,ClCCl,,354.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6464,CN1[C](N(C)C2=CC=CC=C12)[Ir+3]123([O-]C4=CC=CC=C4C4=CC=CC(C5=[N]1C(=CC=C5)C1=CC=CC=C1[O-]2)=[C-]34)[C]1N(C)C2=C(C=CC=C2)N1C,ClCCl,,480.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
